sample_name	condition	target	isogenic_replicate	cell_line	batch_folder	fastq_R1_filename	fastq_R1_filepath	fastq_R2_filename	fastq_R2_filepath
VCap_RNA_EtOH_rep1	EtOH	RNA	rep1	VCap	raw_fastq	CL208_VCaP_ctl-1_S214_L004_R1_001.fastq.gz	raw_fastq/CL208_VCaP_ctl-1_S214_L004_R1_001.fastq.gz	CL208_VCaP_ctl-1_S214_L004_R2_001.fastq.gz	raw_fastq/CL208_VCaP_ctl-1_S214_L004_R2_001.fastq.gz
VCap_RNA_EtOH_rep2	EtOH	RNA	rep2	VCap	raw_fastq	CL208_VCaP_ctl-2_S215_L004_R1_001.fastq.gz	raw_fastq/CL208_VCaP_ctl-2_S215_L004_R1_001.fastq.gz	CL208_VCaP_ctl-2_S215_L004_R2_001.fastq.gz	raw_fastq/CL208_VCaP_ctl-2_S215_L004_R2_001.fastq.gz
VCap_RNA_EtOH_rep3	EtOH	RNA	rep3	VCap	raw_fastq	CL208_VCaP_ctl-3_S216_L004_R1_001.fastq.gz	raw_fastq/CL208_VCaP_ctl-3_S216_L004_R1_001.fastq.gz	CL208_VCaP_ctl-3_S216_L004_R2_001.fastq.gz	raw_fastq/CL208_VCaP_ctl-3_S216_L004_R2_001.fastq.gz
VCap_RNA_R1881_rep1	R1881	RNA	rep1	VCap	raw_fastq	CL208_VCaP_R18-1_S223_L004_R1_001.fastq.gz	raw_fastq/CL208_VCaP_R18-1_S223_L004_R1_001.fastq.gz	CL208_VCaP_R18-1_S223_L004_R2_001.fastq.gz	raw_fastq/CL208_VCaP_R18-1_S223_L004_R2_001.fastq.gz
VCap_RNA_R1881_rep2	R1881	RNA	rep2	VCap	raw_fastq	CL208_VCaP_R18-2_S224_L004_R1_001.fastq.gz	raw_fastq/CL208_VCaP_R18-2_S224_L004_R1_001.fastq.gz	CL208_VCaP_R18-2_S224_L004_R2_001.fastq.gz	raw_fastq/CL208_VCaP_R18-2_S224_L004_R2_001.fastq.gz
VCap_RNA_R1881_rep3	R1881	RNA	rep3	VCap	raw_fastq	CL208_VCaP_R18-3_S225_L004_R1_001.fastq.gz	raw_fastq/CL208_VCaP_R18-3_S225_L004_R1_001.fastq.gz	CL208_VCaP_R18-3_S225_L004_R2_001.fastq.gz	raw_fastq/CL208_VCaP_R18-3_S225_L004_R2_001.fastq.gz
VCap_RNA_E2_rep1	E2	RNA	rep1	VCap	raw_fastq	CL208_VCaP_E2-1_S217_L004_R1_001.fastq.gz	raw_fastq/CL208_VCaP_E2-1_S217_L004_R1_001.fastq.gz	CL208_VCaP_E2-1_S217_L004_R2_001.fastq.gz	raw_fastq/CL208_VCaP_E2-1_S217_L004_R2_001.fastq.gz
VCap_RNA_E2_rep2	E2	RNA	rep2	VCap	raw_fastq	CL208_VCaP_E2-2_S218_L004_R1_001.fastq.gz	raw_fastq/CL208_VCaP_E2-2_S218_L004_R1_001.fastq.gz	CL208_VCaP_E2-2_S218_L004_R2_001.fastq.gz	raw_fastq/CL208_VCaP_E2-2_S218_L004_R2_001.fastq.gz
VCap_RNA_E2_rep3	E2	RNA	rep3	VCap	raw_fastq	CL208_VCaP_E2-3_S219_L004_R1_001.fastq.gz	raw_fastq/CL208_VCaP_E2-3_S219_L004_R1_001.fastq.gz	CL208_VCaP_E2-3_S219_L004_R2_001.fastq.gz	raw_fastq/CL208_VCaP_E2-3_S219_L004_R2_001.fastq.gz
VCap_RNA_R1881+E2_rep1	R1881+E2	RNA	rep1	VCap	raw_fastq	CL208_VCaP_ER-1_S226_L004_R1_001.fastq.gz	raw_fastq/CL208_VCaP_ER-1_S226_L004_R1_001.fastq.gz	CL208_VCaP_ER-1_S226_L004_R2_001.fastq.gz	raw_fastq/CL208_VCaP_ER-1_S226_L004_R2_001.fastq.gz
VCap_RNA_R1881+E2_rep2	R1881+E2	RNA	rep2	VCap	raw_fastq	CL208_VCaP_ER-2_S227_L004_R1_001.fastq.gz	raw_fastq/CL208_VCaP_ER-2_S227_L004_R1_001.fastq.gz	CL208_VCaP_ER-2_S227_L004_R2_001.fastq.gz	raw_fastq/CL208_VCaP_ER-2_S227_L004_R2_001.fastq.gz
VCap_RNA_R1881+E2_rep3	R1881+E2	RNA	rep3	VCap	raw_fastq	CL208_VCaP_ER-3_S228_L004_R1_001.fastq.gz	raw_fastq/CL208_VCaP_ER-3_S228_L004_R1_001.fastq.gz	CL208_VCaP_ER-3_S228_L004_R2_001.fastq.gz	raw_fastq/CL208_VCaP_ER-3_S228_L004_R2_001.fastq.gz
